AmostraArq;AmostraFicha;Especie;Site;Latitude;Longitude;Dia;SepLength;SepWidth;PetLength;PetWidth
A143;A127;Iris_virginica;3;48.329837;-65.512333;01/12/1929;6.2;2.8;4.8;1.8
A44;A49;Iris_setosa;3;48.329837;-65.512333;01/12/1929;5.3;3.7;1.5;0.2
A100;A100;Iris_versicolor;3;48.329837;-65.512333;01/12/1929;5.7;2.8;4.1;1.3
A12;A3;Iris_setosa;1;48.935966;-64.840984;01/12/1929;4.7;3.2;1.3;0.2
A131;A140;Iris_virginica;2;48.540502;-64.766512;13/02/1930;6.9;3.1;5.4;2.1
A145;A133;Iris_virginica;3;48.329837;-65.512333;01/12/1929;6.4;2.8;5.6;2.2
A132;A143;Iris_virginica;2;48.540502;-64.766512;13/02/1930;5.8;2.7;5.1;1.9
A47;A7;Iris_setosa;3;48.329837;-65.512333;01/12/1929;4.6;3.4;1.4;0.3
A150;A148;Iris_virginica;3;48.329837;-65.512333;01/12/1929;6.5;3;5.2;2
A98;A94;Iris_versicolor;3;48.329837;-65.512333;01/12/1929;5;2.3;3.3;1
A87;A61;Iris_versicolor;3;48.329837;-65.512333;01/12/1929;5;2;3.5;1
A14;A9;Iris_setosa;1;48.935966;-64.840984;01/12/1929;4.4;2.9;1.4;0.2
A63;A87;Iris_versicolor;1;48.935966;-64.840984;01/12/1929;6.7;3.1;4.7;1.5
A141;A121;Iris_virginica;3;48.329837;-65.512333;01/12/1929;6.9;3.2;5.7;2.3
A57;A69;Iris_versicolor;1;48.935966;-64.840984;01/12/1929;6.2;2.2;4.5;1.5
